# radius(km)    Ye
2.090418e+01 1.204844e-01
2.100420e+01 1.233164e-01
2.110422e+01 1.264551e-01
2.120424e+01 1.299203e-01
2.130426e+01 1.337312e-01
2.140428e+01 1.379061e-01
2.150430e+01 1.424614e-01
2.160432e+01 1.474122e-01
2.170434e+01 1.527711e-01
2.180436e+01 1.585479e-01
2.190438e+01 1.647495e-01
2.200440e+01 1.713790e-01
2.210442e+01 1.784359e-01
2.220444e+01 1.859150e-01
2.230446e+01 1.938064e-01
2.240448e+01 2.020954e-01
2.250450e+01 2.107616e-01
2.260452e+01 2.197793e-01
2.270454e+01 2.291173e-01
2.280456e+01 2.387384e-01
2.290458e+01 2.485999e-01
2.300460e+01 2.586537e-01
2.310462e+01 2.688463e-01
2.320464e+01 2.791193e-01
2.330466e+01 2.894101e-01
2.340468e+01 2.996520e-01
2.350470e+01 3.097750e-01
2.360472e+01 3.197068e-01
2.370474e+01 3.293734e-01
2.380476e+01 3.386999e-01
2.390478e+01 3.476117e-01
2.400480e+01 3.560352e-01
2.410482e+01 3.638992e-01
2.420484e+01 3.711353e-01
2.430486e+01 3.776795e-01
2.440488e+01 3.834727e-01
2.450490e+01 3.884618e-01
2.460492e+01 3.926006e-01
2.470494e+01 3.958501e-01
2.480496e+01 3.981796e-01
2.490498e+01 3.995669e-01
2.500500e+01 4.001000e-01
2.510502e+01 4.021004e-01
2.520504e+01 4.041008e-01
2.530506e+01 4.061012e-01
2.540508e+01 4.081016e-01
2.550510e+01 4.101020e-01
2.560512e+01 4.121024e-01
2.570514e+01 4.141028e-01
2.580516e+01 4.161032e-01
2.590518e+01 4.181036e-01
2.600520e+01 4.201040e-01
2.610522e+01 4.221044e-01
2.620524e+01 4.241048e-01
2.630526e+01 4.261052e-01
2.640528e+01 4.281056e-01
2.650530e+01 4.301060e-01
2.660532e+01 4.321064e-01
2.670534e+01 4.341068e-01
2.680536e+01 4.361072e-01
2.690538e+01 4.381076e-01
2.700540e+01 4.401080e-01
2.710542e+01 4.421084e-01
2.720544e+01 4.441088e-01
2.730546e+01 4.461092e-01
2.740548e+01 4.481096e-01
2.750550e+01 4.501100e-01
2.760552e+01 4.521104e-01
2.770554e+01 4.541108e-01
2.780556e+01 4.561112e-01
2.790558e+01 4.581116e-01
2.800560e+01 4.601120e-01
2.810562e+01 4.621124e-01
2.820564e+01 4.641128e-01
2.830566e+01 4.661132e-01
2.840568e+01 4.681136e-01
2.850570e+01 4.701140e-01
2.860572e+01 4.721144e-01
2.870574e+01 4.741148e-01
2.880576e+01 4.761152e-01
2.890578e+01 4.781156e-01
2.900580e+01 4.801160e-01
2.910582e+01 4.821164e-01
2.920584e+01 4.841168e-01
2.930586e+01 4.861172e-01
