# radius(km)    lapse
2.895792e+02 9.969238e-01
2.905812e+02 9.969490e-01
2.915832e+02 9.969741e-01
2.925852e+02 9.969990e-01
2.935872e+02 9.970237e-01
2.945892e+02 9.970483e-01
2.955912e+02 9.970727e-01
2.965932e+02 9.970969e-01
2.975952e+02 9.971209e-01
2.985972e+02 9.971448e-01
2.995992e+02 9.971686e-01
3.006012e+02 9.971921e-01
3.016032e+02 9.972156e-01
3.026052e+02 9.972388e-01
3.036072e+02 9.972619e-01
3.046092e+02 9.972849e-01
3.056112e+02 9.973077e-01
3.066132e+02 9.973304e-01
3.076152e+02 9.973529e-01
3.086172e+02 9.973752e-01
3.096192e+02 9.973975e-01
3.106212e+02 9.974195e-01
3.116232e+02 9.974415e-01
3.126253e+02 9.974633e-01
3.136273e+02 9.974849e-01
3.146293e+02 9.975064e-01
3.156313e+02 9.975278e-01
3.166333e+02 9.975491e-01
3.176353e+02 9.975702e-01
3.186373e+02 9.975911e-01
3.196393e+02 9.976120e-01
3.206413e+02 9.976327e-01
3.216433e+02 9.976533e-01
3.226453e+02 9.976737e-01
3.236473e+02 9.976940e-01
3.246493e+02 9.977143e-01
3.256513e+02 9.977343e-01
3.266533e+02 9.977543e-01
3.276553e+02 9.977741e-01
3.286573e+02 9.977938e-01
3.296593e+02 9.978134e-01
3.306613e+02 9.978329e-01
3.316633e+02 9.978522e-01
3.326653e+02 9.978715e-01
3.336673e+02 9.978906e-01
3.346693e+02 9.979096e-01
3.356713e+02 9.979285e-01
3.366733e+02 9.979473e-01
3.376754e+02 9.979659e-01
3.386774e+02 9.979845e-01
3.396794e+02 9.980029e-01
3.406814e+02 9.980213e-01
3.416834e+02 9.980395e-01
3.426854e+02 9.980576e-01
3.436874e+02 9.980756e-01
3.446894e+02 9.980935e-01
3.456914e+02 9.981113e-01
3.466934e+02 9.981290e-01
3.476954e+02 9.981466e-01
3.486974e+02 9.981641e-01
3.496994e+02 9.981815e-01
3.507014e+02 9.981988e-01
3.517034e+02 9.982160e-01
3.527054e+02 9.982331e-01
3.537074e+02 9.982501e-01
3.547094e+02 9.982671e-01
3.557114e+02 9.982839e-01
3.567134e+02 9.983006e-01
3.577154e+02 9.983172e-01
3.587174e+02 9.983337e-01
3.597194e+02 9.983502e-01
3.607214e+02 9.983665e-01
3.617234e+02 9.983828e-01
3.627255e+02 9.983989e-01
3.637275e+02 9.984150e-01
3.647295e+02 9.984310e-01
3.657315e+02 9.984469e-01
3.667335e+02 9.984627e-01
3.677355e+02 9.984785e-01
3.687375e+02 9.984941e-01
3.697395e+02 9.985096e-01
3.707415e+02 9.985251e-01
3.717435e+02 9.985405e-01
3.727455e+02 9.985558e-01
3.737475e+02 9.985710e-01
3.747495e+02 9.985862e-01
3.757515e+02 9.986012e-01
3.767535e+02 9.986162e-01
3.777555e+02 9.986311e-01
3.787575e+02 9.986459e-01
3.797595e+02 9.986607e-01
3.807615e+02 9.986753e-01
3.817635e+02 9.986899e-01
3.827655e+02 9.987044e-01
3.837675e+02 9.987189e-01
3.847695e+02 9.987332e-01
3.857715e+02 9.987475e-01
3.867735e+02 9.987617e-01
3.877756e+02 9.987759e-01
3.887776e+02 9.987899e-01
3.897796e+02 9.988039e-01
3.907816e+02 9.988179e-01
3.917836e+02 9.988317e-01
3.927856e+02 9.988455e-01
3.937876e+02 9.988592e-01
3.947896e+02 9.988728e-01
3.957916e+02 9.988864e-01
3.967936e+02 9.988999e-01
3.977956e+02 9.989133e-01
3.987976e+02 9.989267e-01
3.997996e+02 9.989400e-01
4.008016e+02 9.989532e-01
4.018036e+02 9.989664e-01
4.028056e+02 9.989795e-01
4.038076e+02 9.989925e-01
4.048096e+02 9.990055e-01
4.058116e+02 9.990184e-01
4.068136e+02 9.990312e-01
4.078156e+02 9.990440e-01
4.088176e+02 9.990567e-01
4.098196e+02 9.990694e-01
4.108216e+02 9.990820e-01
4.118236e+02 9.990945e-01
4.128257e+02 9.991070e-01
4.138277e+02 9.991194e-01
4.148297e+02 9.991317e-01
4.158317e+02 9.991440e-01
4.168337e+02 9.991562e-01
4.178357e+02 9.991684e-01
4.188377e+02 9.991805e-01
4.198397e+02 9.991926e-01
4.208417e+02 9.992046e-01
4.218437e+02 9.992165e-01
4.228457e+02 9.992284e-01
4.238477e+02 9.992402e-01
4.248497e+02 9.992520e-01
4.258517e+02 9.992637e-01
4.268537e+02 9.992753e-01
4.278557e+02 9.992870e-01
4.288577e+02 9.992985e-01
4.298597e+02 9.993100e-01
4.308617e+02 9.993214e-01
4.318637e+02 9.993328e-01
4.328657e+02 9.993442e-01
4.338677e+02 9.993555e-01
4.348697e+02 9.993667e-01
4.358717e+02 9.993779e-01
4.368737e+02 9.993890e-01
4.378758e+02 9.994001e-01
4.388778e+02 9.994111e-01
4.398798e+02 9.994221e-01
4.408818e+02 9.994330e-01
4.418838e+02 9.994439e-01
4.428858e+02 9.994547e-01
4.438878e+02 9.994655e-01
4.448898e+02 9.994762e-01
4.458918e+02 9.994869e-01
4.468938e+02 9.994975e-01
4.478958e+02 9.995081e-01
4.488978e+02 9.995187e-01
4.498998e+02 9.995291e-01
4.509018e+02 9.995396e-01
4.519038e+02 9.995500e-01
4.529058e+02 9.995603e-01
4.539078e+02 9.995706e-01
4.549098e+02 9.995809e-01
4.559118e+02 9.995911e-01
4.569138e+02 9.996013e-01
4.579158e+02 9.996114e-01
4.589178e+02 9.996215e-01
4.599198e+02 9.996315e-01
4.609218e+02 9.996415e-01
4.619238e+02 9.996515e-01
4.629259e+02 9.996614e-01
4.639279e+02 9.996713e-01
4.649299e+02 9.996811e-01
4.659319e+02 9.996909e-01
4.669339e+02 9.997006e-01
4.679359e+02 9.997103e-01
4.689379e+02 9.997199e-01
4.699399e+02 9.997296e-01
4.709419e+02 9.997391e-01
4.719439e+02 9.997487e-01
4.729459e+02 9.997582e-01
4.739479e+02 9.997676e-01
4.749499e+02 9.997770e-01
4.759519e+02 9.997864e-01
4.769539e+02 9.997957e-01
4.779559e+02 9.998050e-01
4.789579e+02 9.998143e-01
4.799599e+02 9.998235e-01
4.809619e+02 9.998327e-01
4.819639e+02 9.998418e-01
4.829659e+02 9.998509e-01
4.839679e+02 9.998600e-01
4.849699e+02 9.998690e-01
4.859719e+02 9.998780e-01
4.869739e+02 9.998869e-01
4.879760e+02 9.998958e-01
4.889780e+02 9.999047e-01
4.899800e+02 9.999135e-01
4.909820e+02 9.999224e-01
4.919840e+02 9.999311e-01
4.929860e+02 9.999399e-01
4.939880e+02 9.999486e-01
4.949900e+02 9.999572e-01
4.959920e+02 9.999658e-01
4.969940e+02 9.999744e-01
4.979960e+02 9.999830e-01
4.989980e+02 9.999915e-01
5.000000e+02 1.000000e+00
