# Ea rad s(Ea,rad)
2.516162e+01 1.500000e+01 1.855407e-02
2.516162e+01 1.600000e+01 1.668744e-02
2.516162e+01 1.700000e+01 1.430490e-02
2.516162e+01 1.800000e+01 1.284436e-02
2.516162e+01 1.900000e+01 1.183510e-02
2.516162e+01 2.000000e+01 1.268474e-02
2.818182e+01 0.000000e+00 2.804344e-02
2.818182e+01 1.000000e+00 2.837132e-02
2.818182e+01 2.000000e+00 2.890210e-02
2.818182e+01 3.000000e+00 3.046523e-02
2.818182e+01 4.000000e+00 3.208642e-02
2.818182e+01 5.000000e+00 3.444048e-02
2.818182e+01 6.000000e+00 3.819624e-02
2.818182e+01 7.000000e+00 4.019649e-02
2.818182e+01 8.000000e+00 3.558931e-02
2.818182e+01 9.000000e+00 3.051235e-02
2.818182e+01 1.000000e+01 2.751881e-02
2.818182e+01 1.100000e+01 2.564214e-02
2.818182e+01 1.200000e+01 2.426066e-02
2.818182e+01 1.300000e+01 2.294059e-02
2.818182e+01 1.400000e+01 2.175848e-02
2.818182e+01 1.500000e+01 1.977314e-02
2.818182e+01 1.600000e+01 1.793094e-02
2.818182e+01 1.700000e+01 1.552641e-02
2.818182e+01 1.800000e+01 1.409775e-02
2.818182e+01 1.900000e+01 1.310342e-02
2.818182e+01 2.000000e+01 1.407767e-02
3.120202e+01 0.000000e+00 3.017460e-02
3.120202e+01 1.000000e+00 3.052154e-02
3.120202e+01 2.000000e+00 3.107267e-02
3.120202e+01 3.000000e+00 3.266247e-02
3.120202e+01 4.000000e+00 3.429261e-02
3.120202e+01 5.000000e+00 3.664811e-02
3.120202e+01 6.000000e+00 4.038318e-02
3.120202e+01 7.000000e+00 4.219097e-02
3.120202e+01 8.000000e+00 3.715454e-02
3.120202e+01 9.000000e+00 3.179417e-02
3.120202e+01 1.000000e+01 2.868085e-02
3.120202e+01 1.100000e+01 2.676570e-02
3.120202e+01 1.200000e+01 2.538892e-02
3.120202e+01 1.300000e+01 2.409011e-02
3.120202e+01 1.400000e+01 2.294972e-02
3.120202e+01 1.500000e+01 2.097590e-02
3.120202e+01 1.600000e+01 1.915828e-02
3.120202e+01 1.700000e+01 1.673237e-02
3.120202e+01 1.800000e+01 1.533217e-02
3.120202e+01 1.900000e+01 1.434029e-02
3.120202e+01 2.000000e+01 1.541137e-02
3.422222e+01 0.000000e+00 3.242532e-02
3.422222e+01 1.000000e+00 3.278674e-02
3.422222e+01 2.000000e+00 3.335243e-02
3.422222e+01 3.000000e+00 3.496023e-02
3.422222e+01 4.000000e+00 3.659016e-02
3.422222e+01 5.000000e+00 3.893492e-02
3.422222e+01 6.000000e+00 4.262718e-02
3.422222e+01 7.000000e+00 4.420814e-02
3.422222e+01 8.000000e+00 3.871139e-02
3.422222e+01 9.000000e+00 3.305808e-02
3.422222e+01 1.000000e+01 2.982226e-02
3.422222e+01 1.100000e+01 2.786727e-02
3.422222e+01 1.200000e+01 2.649415e-02
3.422222e+01 1.300000e+01 2.521577e-02
3.422222e+01 1.400000e+01 2.411615e-02
3.422222e+01 1.500000e+01 2.215373e-02
3.422222e+01 1.600000e+01 2.036011e-02
3.422222e+01 1.700000e+01 1.791285e-02
3.422222e+01 1.800000e+01 1.653647e-02
3.422222e+01 1.900000e+01 1.553396e-02
3.422222e+01 2.000000e+01 1.667474e-02
3.724242e+01 0.000000e+00 3.479406e-02
3.724242e+01 1.000000e+00 3.516454e-02
3.724242e+01 2.000000e+00 3.573976e-02
3.724242e+01 3.000000e+00 3.735733e-02
3.724242e+01 4.000000e+00 3.897766e-02
3.724242e+01 5.000000e+00 4.129862e-02
3.724242e+01 6.000000e+00 4.492332e-02
3.724242e+01 7.000000e+00 4.624063e-02
3.724242e+01 8.000000e+00 4.025251e-02
3.724242e+01 9.000000e+00 3.429769e-02
3.724242e+01 1.000000e+01 3.093714e-02
3.724242e+01 1.100000e+01 2.894106e-02
3.724242e+01 1.200000e+01 2.757039e-02
3.724242e+01 1.300000e+01 2.631134e-02
3.724242e+01 1.400000e+01 2.525108e-02
3.724242e+01 1.500000e+01 2.329956e-02
3.724242e+01 1.600000e+01 2.152879e-02
3.724242e+01 1.700000e+01 1.905974e-02
3.724242e+01 1.800000e+01 1.770165e-02
3.724242e+01 1.900000e+01 1.667546e-02
3.724242e+01 2.000000e+01 1.786042e-02
4.026263e+01 0.000000e+00 3.727860e-02
4.026263e+01 1.000000e+00 3.765347e-02
4.026263e+01 2.000000e+00 3.823405e-02
4.026263e+01 3.000000e+00 3.985302e-02
4.026263e+01 4.000000e+00 4.145361e-02
4.026263e+01 5.000000e+00 4.373658e-02
4.026263e+01 6.000000e+00 4.726655e-02
4.026263e+01 7.000000e+00 4.828155e-02
4.026263e+01 8.000000e+00 4.177149e-02
4.026263e+01 9.000000e+00 3.550765e-02
4.026263e+01 1.000000e+01 3.202062e-02
4.026263e+01 1.100000e+01 2.998229e-02
4.026263e+01 1.200000e+01 2.861277e-02
4.026263e+01 1.300000e+01 2.737176e-02
4.026263e+01 1.400000e+01 2.634909e-02
4.026263e+01 1.500000e+01 2.440767e-02
4.026263e+01 1.600000e+01 2.265814e-02
4.026263e+01 1.700000e+01 2.016648e-02
4.026263e+01 1.800000e+01 1.882055e-02
4.026263e+01 1.900000e+01 1.775812e-02
4.026263e+01 2.000000e+01 1.896397e-02
4.328283e+01 0.000000e+00 3.987738e-02
4.328283e+01 1.000000e+00 4.025304e-02
4.328283e+01 2.000000e+00 4.083519e-02
4.328283e+01 3.000000e+00 4.244638e-02
4.328283e+01 4.000000e+00 4.401603e-02
4.328283e+01 5.000000e+00 4.624568e-02
4.328283e+01 6.000000e+00 4.965179e-02
4.328283e+01 7.000000e+00 5.032442e-02
4.328283e+01 8.000000e+00 4.326272e-02
4.328283e+01 9.000000e+00 3.668350e-02
4.328283e+01 1.000000e+01 3.306872e-02
