# Ea rad s(Ea,rad)
4.328283e+01 0.000000e+00 2.752333e-02
4.328283e+01 1.000000e+00 2.772633e-02
4.328283e+01 2.000000e+00 2.806565e-02
4.328283e+01 3.000000e+00 2.911869e-02
4.328283e+01 4.000000e+00 3.015155e-02
4.328283e+01 5.000000e+00 3.163245e-02
4.328283e+01 6.000000e+00 3.381277e-02
4.328283e+01 7.000000e+00 3.411528e-02
4.328283e+01 8.000000e+00 2.923546e-02
4.328283e+01 9.000000e+00 2.476208e-02
4.328283e+01 1.000000e+01 2.230016e-02
4.328283e+01 1.100000e+01 2.086924e-02
4.328283e+01 1.200000e+01 1.991578e-02
4.328283e+01 1.300000e+01 1.906338e-02
4.328283e+01 1.400000e+01 1.837265e-02
4.328283e+01 1.500000e+01 1.706702e-02
4.328283e+01 1.600000e+01 1.590890e-02
4.328283e+01 1.700000e+01 1.425793e-02
4.328283e+01 1.800000e+01 1.339333e-02
4.328283e+01 1.900000e+01 1.269165e-02
4.328283e+01 2.000000e+01 1.347823e-02
4.630303e+01 0.000000e+00 2.938232e-02
4.630303e+01 1.000000e+00 2.957801e-02
4.630303e+01 2.000000e+00 2.990972e-02
4.630303e+01 3.000000e+00 3.094557e-02
4.630303e+01 4.000000e+00 3.194524e-02
4.630303e+01 5.000000e+00 3.337473e-02
4.630303e+01 6.000000e+00 3.543862e-02
4.630303e+01 7.000000e+00 3.547309e-02
4.630303e+01 8.000000e+00 3.020061e-02
4.630303e+01 9.000000e+00 2.551273e-02
4.630303e+01 1.000000e+01 2.296472e-02
4.630303e+01 1.100000e+01 2.150365e-02
4.630303e+01 1.200000e+01 2.054804e-02
4.630303e+01 1.300000e+01 1.970442e-02
4.630303e+01 1.400000e+01 1.903444e-02
4.630303e+01 1.500000e+01 1.773299e-02
4.630303e+01 1.600000e+01 1.658518e-02
4.630303e+01 1.700000e+01 1.491758e-02
4.630303e+01 1.800000e+01 1.405191e-02
4.630303e+01 1.900000e+01 1.331001e-02
4.630303e+01 2.000000e+01 1.408093e-02
4.932323e+01 0.000000e+00 3.131946e-02
4.932323e+01 1.000000e+00 3.150555e-02
4.932323e+01 2.000000e+00 3.182591e-02
4.932323e+01 3.000000e+00 3.283650e-02
4.932323e+01 4.000000e+00 3.379402e-02
4.932323e+01 5.000000e+00 3.516064e-02
4.932323e+01 6.000000e+00 3.708651e-02
4.932323e+01 7.000000e+00 3.682531e-02
4.932323e+01 8.000000e+00 3.114230e-02
4.932323e+01 9.000000e+00 2.623721e-02
4.932323e+01 1.000000e+01 2.360287e-02
4.932323e+01 1.100000e+01 2.211118e-02
4.932323e+01 1.200000e+01 2.115252e-02
4.932323e+01 1.300000e+01 2.031659e-02
4.932323e+01 1.400000e+01 1.966578e-02
4.932323e+01 1.500000e+01 1.836755e-02
4.932323e+01 1.600000e+01 1.722835e-02
4.932323e+01 1.700000e+01 1.554303e-02
4.932323e+01 1.800000e+01 1.467180e-02
4.932323e+01 1.900000e+01 1.388333e-02
4.932323e+01 2.000000e+01 1.462877e-02
5.234343e+01 0.000000e+00 3.333505e-02
5.234343e+01 1.000000e+00 3.350880e-02
5.234343e+01 2.000000e+00 3.381313e-02
5.234343e+01 3.000000e+00 3.478959e-02
5.234343e+01 4.000000e+00 3.569551e-02
5.234343e+01 5.000000e+00 3.698749e-02
5.234343e+01 6.000000e+00 3.875311e-02
5.234343e+01 7.000000e+00 3.816845e-02
5.234343e+01 8.000000e+00 3.205818e-02
5.234343e+01 9.000000e+00 2.693392e-02
5.234343e+01 1.000000e+01 2.421331e-02
5.234343e+01 1.100000e+01 2.269065e-02
5.234343e+01 1.200000e+01 2.172804e-02
5.234343e+01 1.300000e+01 2.089870e-02
5.234343e+01 1.400000e+01 2.026541e-02
5.234343e+01 1.500000e+01 1.896941e-02
5.234343e+01 1.600000e+01 1.783705e-02
5.234343e+01 1.700000e+01 1.613290e-02
5.234343e+01 1.800000e+01 1.525181e-02
5.234343e+01 1.900000e+01 1.441135e-02
5.234343e+01 2.000000e+01 1.512320e-02
5.536364e+01 0.000000e+00 3.542918e-02
5.536364e+01 1.000000e+00 3.558704e-02
5.536364e+01 2.000000e+00 3.586976e-02
5.536364e+01 3.000000e+00 3.680249e-02
5.536364e+01 4.000000e+00 3.764707e-02
5.536364e+01 5.000000e+00 3.885247e-02
5.536364e+01 6.000000e+00 4.043508e-02
5.536364e+01 7.000000e+00 3.949925e-02
5.536364e+01 8.000000e+00 3.294621e-02
5.536364e+01 9.000000e+00 2.760156e-02
5.536364e+01 1.000000e+01 2.479505e-02
