# Ea rad s(Ea,rad)
2.516162e+01 1.000000e+01 7.004148e-03
2.516162e+01 1.100000e+01 6.712060e-03
2.516162e+01 1.200000e+01 6.551736e-03
2.516162e+01 1.300000e+01 6.459721e-03
2.516162e+01 1.400000e+01 6.424493e-03
2.516162e+01 1.500000e+01 6.375440e-03
2.516162e+01 1.600000e+01 6.375325e-03
2.516162e+01 1.700000e+01 6.362287e-03
2.516162e+01 1.800000e+01 6.496293e-03
2.516162e+01 1.900000e+01 6.819098e-03
2.516162e+01 2.000000e+01 7.296624e-03
2.818182e+01 0.000000e+00 5.685562e-03
2.818182e+01 1.000000e+00 5.717674e-03
2.818182e+01 2.000000e+00 5.800377e-03
2.818182e+01 3.000000e+00 6.121570e-03
2.818182e+01 4.000000e+00 6.487923e-03
2.818182e+01 5.000000e+00 7.058536e-03
2.818182e+01 6.000000e+00 8.103371e-03
2.818182e+01 7.000000e+00 9.014991e-03
2.818182e+01 8.000000e+00 8.581017e-03
2.818182e+01 9.000000e+00 7.719680e-03
2.818182e+01 1.000000e+01 7.183683e-03
2.818182e+01 1.100000e+01 6.883012e-03
2.818182e+01 1.200000e+01 6.722726e-03
2.818182e+01 1.300000e+01 6.635090e-03
2.818182e+01 1.400000e+01 6.609446e-03
2.818182e+01 1.500000e+01 6.569828e-03
2.818182e+01 1.600000e+01 6.586886e-03
2.818182e+01 1.700000e+01 6.594615e-03
2.818182e+01 1.800000e+01 6.762515e-03
2.818182e+01 1.900000e+01 7.102124e-03
2.818182e+01 2.000000e+01 7.565060e-03
3.120202e+01 0.000000e+00 6.098911e-03
3.120202e+01 1.000000e+00 6.131295e-03
3.120202e+01 2.000000e+00 6.215244e-03
3.120202e+01 3.000000e+00 6.540572e-03
3.120202e+01 4.000000e+00 6.908680e-03
3.120202e+01 5.000000e+00 7.479618e-03
3.120202e+01 6.000000e+00 8.512832e-03
3.120202e+01 7.000000e+00 9.374109e-03
3.120202e+01 8.000000e+00 8.841062e-03
3.120202e+01 9.000000e+00 7.919178e-03
3.120202e+01 1.000000e+01 7.357952e-03
3.120202e+01 1.100000e+01 7.048205e-03
3.120202e+01 1.200000e+01 6.887367e-03
3.120202e+01 1.300000e+01 6.803351e-03
3.120202e+01 1.400000e+01 6.786269e-03
3.120202e+01 1.500000e+01 6.754615e-03
3.120202e+01 1.600000e+01 6.786692e-03
3.120202e+01 1.700000e+01 6.811967e-03
3.120202e+01 1.800000e+01 7.008096e-03
3.120202e+01 1.900000e+01 7.354873e-03
3.120202e+01 2.000000e+01 7.793729e-03
3.422222e+01 0.000000e+00 6.536017e-03
3.422222e+01 1.000000e+00 6.567609e-03
3.422222e+01 2.000000e+00 6.651597e-03
3.422222e+01 3.000000e+00 6.979359e-03
3.422222e+01 4.000000e+00 7.347386e-03
3.422222e+01 5.000000e+00 7.916135e-03
3.422222e+01 6.000000e+00 8.932827e-03
3.422222e+01 7.000000e+00 9.736327e-03
3.422222e+01 8.000000e+00 9.097893e-03
3.422222e+01 9.000000e+00 8.113720e-03
3.422222e+01 1.000000e+01 7.526726e-03
3.422222e+01 1.100000e+01 7.207466e-03
3.422222e+01 1.200000e+01 7.045521e-03
3.422222e+01 1.300000e+01 6.964403e-03
3.422222e+01 1.400000e+01 6.954896e-03
3.422222e+01 1.500000e+01 6.929821e-03
3.422222e+01 1.600000e+01 6.974840e-03
3.422222e+01 1.700000e+01 7.014557e-03
